Allen Iverson,9.83,1996,1213,.578,.547,.366,.488,.283,37,37,10.3,21.4,.480,7.4,13.6,.546,2.9,7.8,.366,7.1,10.5,.678,4.6,5.7,4.1,0.5,4.6,2.9,30.5
Marcus Camby,8.92,1996,1011,.521,.477,.015,.434,.320,33,30,10.1,21.2,.477,10.1,20.9,.484,0.0,0.3,.000,6.4,9.2,.700,10.7,2.3,1.3,5.1,3.3,3.4,26.7
Shareef Abdur-Rahim,6.44,1996,972,.571,.528,.053,.626,.221,28,,8.5,16.4,.518,8.1,15.5,.525,0.3,0.9,.381,7.0,10.2,.683,9.7,1.2,2.1,1.4,3.6,2.4,24.3
Stephon Marbury,12.71,1996,1345,.574,.543,.463,.319,.127,36,35,7.0,15.3,.457,4.4,8.2,.533,2.6,7.1,.370,3.6,4.9,.738,3.4,4.8,1.9,0.1,3.4,2.4,20.2
Ray Allen,8.19,1996,1098,.595,.566,.400,.238,.303,35,35,10.6,22.5,.472,6.4,13.5,.477,4.2,9.0,.466,4.3,5.4,.810,8.3,4.3,2.2,0.7,3.0,1.7,29.8
Antoine Walker,10.06,1996,971,.494,.473,.098,.264,.195,36,,9.4,20.3,.463,9.0,18.3,.493,0.4,2.0,.188,3.4,5.4,.631,12.4,4.3,2.5,1.0,3.7,3.5,22.5
Lorenzen Wright,6.58,1996,1058,.566,.542,.003,.442,.245,30,,7.8,14.4,.542,7.8,14.4,.543,0.0,0.0,.000,4.1,6.4,.645,11.8,1.3,1.5,2.2,2.1,2.9,19.8
Kerry Kittles,11.46,1996,1059,.564,.537,.406,.305,.210,30,29,8.2,17.9,.455,5.2,10.7,.489,2.9,7.3,.404,3.9,5.5,.710,8.0,4.0,2.7,0.4,2.1,1.7,23.2
Samaki Walker,9.84,1996,634,.609,.599,.005,.551,.202,21,,7.8,13.1,.599,7.8,13.0,.602,0.0,0.1,.000,4.4,7.2,.614,9.9,1.5,1.1,2.7,3.1,3.3,20.1
Erick Dampier,8.72,1996,1112,.568,.551,.000,.480,.200,34,,7.0,12.7,.551,7.0,12.7,.551,0.0,0.0,,3.7,6.1,.612,11.4,2.8,0.6,3.8,3.3,3.1,17.8
Todd Fuller,7.98,1996,1044,.586,.524,.097,.515,.235,31,31,8.6,17.0,.506,8.0,15.4,.520,0.6,1.6,.372,7.0,8.8,.799,11.8,1.5,0.4,2.1,2.8,1.8,24.9
Vitaly Potapenko,-0.49,1996,807,.638,.605,.018,.601,.259,26,,9.8,16.3,.604,9.8,16.0,.612,0.0,0.3,.167,7.0,9.8,.716,9.6,1.8,0.5,0.8,5.1,4.8,26.7
Steve Nash,4.09,1996,979,.566,.513,.480,.297,.179,29,,6.7,15.6,.430,4.1,8.1,.510,2.6,7.5,.344,4.1,4.6,.894,4.2,7.1,1.6,0.0,4.2,1.8,20.1
Tony Delk,10.06,1996,947,.619,.594,.453,.237,.272,36,,9.7,19.6,.494,5.7,10.7,.535,3.9,8.9,.443,3.7,4.6,.800,6.3,2.7,2.8,0.5,2.7,3.0,27.0
John Wallace,11.35,1996,1379,.573,.520,.147,.486,.233,38,,8.5,17.4,.489,7.4,14.8,.501,1.1,2.6,.420,6.4,8.4,.763,9.5,2.6,1.3,1.8,3.5,2.7,24.5
Walter McCarty,10.06,1996,888,.618,.593,.214,.371,.287,36,,6.8,12.6,.543,5.6,9.9,.564,1.3,2.7,.467,3.4,4.7,.721,9.3,4.1,2.0,2.3,3.6,5.3,18.3
Roy Rogers,6.13,1996,1173,.539,.524,.003,.276,.175,32,31,6.3,12.1,.524,6.3,12.1,.525,0.0,0.0,.000,2.1,3.3,.622,10.2,1.0,0.7,5.3,2.1,2.5,14.8
Derek Fisher,-1.03,1996,1080,.554,.490,.417,.542,.155,30,30,4.7,11.6,.410,2.9,6.7,.429,1.9,4.8,.385,4.7,6.3,.746,5.7,5.7,2.1,0.1,3.0,2.4,16.1
Jerome Williams,9.83,1996,1016,.607,.590,.028,.532,.230,37,37,5.8,9.8,.588,5.7,9.6,.601,0.0,0.3,.143,3.3,5.2,.639,12.8,2.0,2.8,0.6,2.8,2.6,15.0
Brian Evans,10.87,1996,1156,.577,.513,.333,.428,.190,31,,7.3,16.4,.447,5.2,10.9,.475,2.1,5.5,.392,6.0,7.0,.847,7.6,4.4,1.5,0.7,2.5,1.9,22.8
Priest Lauderdale,10.87,1996,1156,.577,.513,.333,.428,.190,31,,7.3,16.4,.447,5.2,10.9,.475,2.1,5.5,.392,6.0,7.0,.847,7.6,4.4,1.5,0.7,2.5,1.9,22.8
Travis Knight,8.19,1996,854,.551,.521,.000,.351,.273,34,33,5.9,11.3,.521,5.9,11.3,.521,0.0,0.0,,2.8,4.0,.694,14.8,3.3,1.1,3.2,3.6,3.8,14.6
Tim Duncan,10.53,1997,1137,.629,.616,.057,.699,.367,31,,8.2,13.5,.608,8.0,12.8,.628,0.2,0.8,.273,6.0,9.5,.636,16.1,3.4,0.8,3.6,3.5,2.4,22.7
Keith Van Horn,5.44,1997,1008,.604,.550,.298,.331,.316,32,,9.8,20.0,.492,7.5,14.0,.537,2.3,6.0,.387,6.0,6.6,.904,12.0,1.8,0.9,1.5,3.1,2.4,28.0
Chauncey Billups,6.24,1997,947,.596,.515,.508,.560,.245,29,,6.4,15.5,.413,3.3,7.6,.425,3.2,7.9,.401,7.4,8.7,.854,6.0,5.9,2.6,0.2,3.5,2.2,23.4
Antonio Daniels,1.56,1997,1161,.628,.591,.204,.414,.239,32,,9.6,17.6,.547,8.1,14.0,.576,1.6,3.6,.433,5.7,7.3,.777,3.1,7.4,2.5,0.3,3.5,1.8,26.4
Tony Battie,6.72,1997,978,.606,.587,.045,.458,.220,28,,8.4,14.6,.579,8.2,13.9,.588,0.2,0.7,.375,4.4,6.7,.656,13.5,0.9,1.1,2.9,3.1,3.5,21.5
Ron Mercer,9.20,1997,1299,.555,.533,.234,.174,.204,40,,9.1,18.6,.493,7.6,14.2,.537,1.5,4.3,.348,2.5,3.2,.781,6.5,3.0,2.0,0.3,2.1,2.9,22.3
Tim Thomas,9.45,1997,1005,.555,.506,.337,.365,.183,32,,7.4,16.6,.450,5.6,11.0,.507,1.9,5.6,.336,4.8,6.0,.796,7.7,2.6,2.2,1.3,3.6,3.5,21.6
Adonal Foyle,-6.42,1997,1055,.555,.566,.014,.533,.227,28,,10.5,18.6,.565,10.5,18.3,.571,0.0,0.3,.143,4.8,9.9,.487,14.0,2.0,0.7,6.8,4.4,2.3,25.9
Danny Fortson,5.44,1997,986,.669,.620,.003,.717,.343,33,,9.9,15.9,.620,9.9,15.9,.621,0.0,0.0,.000,8.8,11.4,.772,12.1,1.5,0.8,0.6,4.1,4.4,28.5
Tariq Abdul-Wahad,5.44,1997,986,.669,.620,.003,.717,.343,33,,9.9,15.9,.620,9.9,15.9,.621,0.0,0.0,.000,8.8,11.4,.772,12.1,1.5,0.8,0.6,4.1,4.4,28.5
Austin Croshere,8.32,1997,1192,.598,.524,.398,.466,.228,36,,6.7,14.8,.455,4.7,8.9,.525,2.0,5.9,.349,6.1,6.9,.888,9.1,1.8,1.3,0.8,3.2,3.1,21.6
Derek Anderson,,1997,481,.621,.575,.416,.420,.321,19,,9.2,18.8,.491,6.1,11.0,.553,3.2,7.8,.404,6.4,7.9,.811,6.4,5.6,3.1,0.2,2.7,3.2,28.0
Maurice Taylor,10.53,1997,1055,.543,.509,.015,.343,.153,35,,6.6,12.9,.507,6.5,12.7,.512,0.0,0.2,.200,3.2,4.4,.718,8.3,1.5,1.0,1.2,2.7,3.6,16.3
Kelvin Cato,,1997,801,.431,.408,.003,.360,.185,28,32,6.4,15.7,.408,6.4,15.6,.409,0.0,0.0,.000,3.0,5.6,.540,11.7,0.7,1.3,5.9,2.4,4.0,15.8
Brevin Knight,9.05,1997,960,.561,.474,.323,.584,.216,30,,5.8,14.2,.408,3.9,9.6,.407,1.9,4.6,.409,6.9,8.3,.834,4.6,9.8,3.5,0.2,4.3,3.5,20.4
Johnny Taylor,9.05,1997,960,.561,.474,.323,.584,.216,30,,5.8,14.2,.408,3.9,9.6,.407,1.9,4.6,.409,6.9,8.3,.834,4.6,9.8,3.5,0.2,4.3,3.5,20.4
Scot Pollard,7.94,1997,702,.589,.531,.006,.787,.304,28,26,5.4,10.1,.528,5.3,10.1,.525,0.1,0.1,1.000,5.6,8.0,.707,13.2,1.1,2.0,4.2,2.4,3.9,16.4
Paul Grant,,1997,765,.543,.494,.004,.494,.230,28,,6.7,13.6,.494,6.7,13.6,.496,0.0,0.1,.000,4.8,6.7,.713,7.6,1.1,0.7,1.8,3.2,4.3,18.3
Anthony Parker,3.39,1997,715,.538,.481,.389,.545,.174,21,20,6.1,14.4,.424,4.5,8.8,.510,1.6,5.6,.290,5.7,7.8,.721,6.3,4.0,2.1,0.6,3.2,2.0,19.5
Ed Gray,,1997,824,.554,.500,.259,.412,.217,26,,10.9,23.6,.461,9.0,17.5,.517,1.8,6.1,.302,7.7,9.7,.790,5.1,2.7,2.1,0.3,4.2,3.3,31.3
Bobby Jackson,9.20,1997,1101,.528,.477,.224,.356,.197,35,,6.9,15.7,.441,5.8,12.2,.476,1.1,3.5,.320,4.4,5.6,.786,7.7,5.0,2.7,0.3,2.9,3.9,19.4
Rodrick Rhodes,,1997,716,.533,.506,.318,.604,.134,25,,6.4,14.2,.447,4.7,9.7,.483,1.7,4.5,.370,5.1,8.6,.597,6.8,5.8,2.3,0.4,5.3,3.7,19.6
John Thomas,9.20,1997,834,.582,.576,.005,.530,.304,35,,6.0,10.4,.576,6.0,10.4,.579,0.0,0.0,.000,3.2,5.5,.574,10.6,1.9,1.4,2.6,2.6,4.1,15.2
Charles Smith,3.67,1997,972,.566,.533,.410,.313,.223,33,,8.4,18.3,.457,5.6,10.8,.519,2.8,7.5,.368,4.3,5.7,.748,7.4,3.8,2.1,1.1,3.7,2.6,23.7
Jacque Vaughn,7.94,1997,820,.553,.476,.292,.611,.150,26,25,3.9,9.0,.427,3.0,6.4,.466,0.9,2.6,.333,4.3,5.5,.779,3.0,7.9,2.2,0.2,3.1,2.9,12.9
Keith Booth,9.30,1997,1100,.540,.470,.048,.680,.199,32,,7.5,15.9,.469,7.4,15.1,.490,0.0,0.8,.048,7.7,10.8,.717,9.2,3.0,2.3,0.7,3.7,3.4,22.7
Michael Olowokandi,-0.56,1998,,.591,.609,.000,.462,,33,,,,.609,,,.609,,,,,,.485,,,,,,,
Mike Bibby,8.38,1998,1119,.582,.550,.442,.318,.190,35,35,7.5,16.1,.464,4.7,9.0,.526,2.8,7.1,.387,3.9,5.1,.755,3.8,7.1,3.0,0.3,2.8,2.0,21.6
Raef LaFrentz,6.54,1998,906,.592,.558,.040,.388,.309,30,30,10.2,18.7,.548,9.9,17.9,.552,0.4,0.8,.471,5.3,7.2,.738,15.1,1.3,1.2,2.0,3.4,3.1,26.2
Antawn Jamison,10.38,1998,,.607,.584,.027,.505,,37,,,,.579,,,.584,,,.400,,,.667,,,,,,,
Vince Carter,10.38,1998,,.659,.649,.282,.388,,38,,,,.591,,,.662,,,.411,,,.680,,,,,,,
Robert Traylor,9.64,1998,,.595,.579,.003,.419,,34,,,,.579,,,.580,,,.000,,,.642,,,,,,,
Jason Williams,,1998,,.589,.547,.528,.295,,20,,,,.441,,,.483,,,.403,,,.840,,,,,,,
Larry Hughes,5.51,1998,,.505,.454,.269,.481,,32,,,,.415,,,.461,,,.290,,,.692,,,,,,,
Paul Pierce,6.54,1998,1155,.585,.549,.211,.395,.272,38,38,9.9,19.4,.513,8.6,15.3,.560,1.4,4.1,.339,5.6,7.7,.738,8.8,3.4,1.5,1.5,3.8,3.1,26.9
Bonzi Wells,0.68,1998,,.573,.544,.292,.397,,29,,,,.490,,,.538,,,.373,,,.689,,,,,,,
Michael Doleac,4.87,1998,,.586,.507,.095,.636,,32,,,,.488,,,.497,,,.406,,,.805,,,,,,,
Keon Clark,5.31,1998,,.590,.567,.077,.433,,10,,,,.548,,,.552,,,.500,,,.667,,,,,,,
Michael Dickerson,8.38,1998,988,.594,.570,.298,.254,.203,35,35,9.8,19.1,.510,7.4,13.4,.554,2.3,5.7,.404,3.7,4.9,.758,6.3,2.5,1.5,0.3,3.1,3.2,25.5
Matt Harpring,8.70,1998,,.567,.508,.333,.438,,32,,,,.456,,,.530,,,.310,,,.810,,,,,,,
Bryce Drew,-2.66,1998,,.585,.552,.470,.281,,31,,,,.450,,,.465,,,.433,,,.792,,,,,,,
Pat Garrity,6.28,1998,,.574,.526,.243,.476,,27,,,,.481,,,.516,,,.370,,,.750,,,,,,,
Roshown McLeod,,1998,,.580,.549,.270,.403,,36,,,,.494,,,.524,,,.411,,,.706,,,,,,,
